ingredient_name,category,subcategory,evidence_grade,evidence_strength_score,number_of_meta_analyses,number_of_rcts,total_participants,study_year_range_start,study_year_range_end,primary_biomarkers,secondary_biomarkers,mechanisms_of_action,primary_outcomes,secondary_outcomes,effect_sizes,evidence_confidence_level,male_relevance_score,female_relevance_score,male_specific_notes,female_specific_notes,best_time_of_day,food_relation,timing_reason,studied_doses,practical_consumer_doses,contraindications,side_effects_common,side_effects_rare,medication_interactions,upper_safe_limit,caution_populations,reference_pmids,reference_dois,notes_for_internal_review
Alpha-Lipoic Acid,Compound,Metabolic,A,0.88,25.0,65.0,4800.0,1995.0,2023.0,Glucose,Neuropathy Score,"Mitochondrial cofactor",Neuropathy relief,Insulin sensitivity,"Large (Neuropathy), Moderate (Glucose)",High,0.85,0.85,Metabolism,PCOS,Morning,Empty stomach,Absorption,300–1200 mg,300–600 mg,Thiamine deficiency,Hypoglycemia,Insulin Autoimmune Syndrome,Chemo,1200 mg,Diabetics,PMID:22964344; PMID:29990473,DOI:10.1530/EJE-12-0563,Use R-ALA.
Astaxanthin,Carotenoid,Antioxidant,B,0.83,8.0,30.0,1500.0,2005.0,2023.0,Skin Elasticity,MDA,"Antioxidant",Skin protection,Eye strain,"Moderate (Skin), Small (Endurance)",High,0.8,0.95,Antioxidant,Beauty,Morning,With fat,Fat-soluble,4–12 mg,4–12 mg,Shellfish allergy,Red stool,None,5-AR inhibitors,No UL,Shellfish allergy,PMID:29690549; PMID:22628205,DOI:10.3390/nu10040522,From algae.
PQQ,Compound,Mitochondrial,C,0.70,2.0,10.0,400.0,2014.0,2022.0,Cognition,CRP,"Biogenesis",Cognition,Energy,Small,Low,0.8,0.8,Nootropic,Egg quality,Morning,With food,CoQ10 stack,20–40 mg,10–20 mg,None,None,Renal toxicity,None,No UL,Pregnancy,PMID:24231099; PMID:26782228,DOI:10.1007/s12035-015-9502-3,Emerging.
Phosphatidylserine,Lipid,Nootropic,B,0.80,12.0,35.0,2500.0,1992.0,2021.0,Cortisol,Memory,"Membrane component",Cortisol reduction,Memory,"Moderate (Cortisol/Memory)",Medium,0.85,0.85,Stress,Cognition,Evening,With food,Fat-soluble,300–800 mg,300–600 mg,None,Insomnia,None,Anticholinergics,No UL,Soy allergy,PMID:18662395; PMID:25933483,DOI:10.1186/1550-2783-5-11,Soy/Sunflower source.
Hyaluronic Acid,Compound,Beauty,A,0.91,12.0,55.0,4200.0,2008.0,2024.0,Skin Moisture,WOMAC,"Water binding",Hydration,Joint pain,Moderate,High,0.75,0.98,Joints,Beauty,Any time,With food,Absorption,60–240 mg,100–200 mg,Cancer history,None,Allergy,None,No UL,Cancer history,PMID:25014997; PMID:26978861,DOI:10.1186/1475-2891-13-70,Oral effective.
Collagen Peptides,Protein,Beauty,A,0.94,25.0,80.0,12000.0,2000.0,2024.0,Skin Elasticity,Joint Pain,"Amino acids",Wrinkles,Joints,Moderate,High,0.85,0.98,Joints,Anti-aging,Any time,Independent,High absorption,2.5–10 g,2.5–10 g,None,Bloating,Hypercalcemia,None,No UL,Vegans,PMID:24401291; PMID:30681787,DOI:10.1159/000351376,Hydrolyzed.
DHEA,Hormone,Hormonal,B,0.85,18.0,60.0,5500.0,1995.0,2023.0,DHEA-S,Testosterone,"Pro-hormone",Fertility,Bone density,"Moderate (Fertility), Small (Muscle)",High,0.9,0.9,Men >40,IVF/Menopause,Morning,With food,Circadian,25–75 mg,25–50 mg,Hormone cancers,Acne; Hair loss,Liver strain,Aromatase inhibitors,100 mg,Athletes (Banned),PMID:20448130; PMID:24075196,DOI:10.1002/14651858.CD000217,Banned WADA.
DIM,Compound,Hormonal,B,0.76,5.0,15.0,1200.0,2005.0,2022.0,Estrogen Metabolites,Free T,"Estrogen metabolism",Estrogen balance,Acne,Moderate (Metabolites),Medium,0.85,0.9,Gynecomastia,PMS/Acne,Dinner,With food,Absorption,100–300 mg,100–200 mg,Hormone conditions,Urine color change,Hyponatremia,HRT,No UL,Pregnancy,PMID:25513726; PMID:28135165,DOI:10.1007/s10549-014-3211-6,From broccoli.
Myo-Inositol,Carbohydrate,Metabolic,A,0.93,25.0,60.0,5800.0,2000.0,2024.0,HOMA-IR,Ovulation,"Insulin signaling",PCOS resolution,Insulin sensitivity,"Large (PCOS), Moderate (Anxiety)",High,0.5,1.0,Low relevance,PCOS Standard,Divided,Independent,Consistent levels,2000–4000 mg,2000–4000 mg,None,Gas,None,None,18 g,PCOS,PMID:29042448; PMID:22192900,DOI:10.1080/09513590.2017.1381680,PCOS essential.
Chasteberry,Herb,Hormonal,A,0.88,15.0,40.0,3500.0,1998.0,2023.0,Prolactin,Progesterone,"Dopamine agonist",PMS relief,Cycle regulation,Large (PMS),High,0.2,1.0,Hyperprolactinemia,PMS/Acne,Morning,Empty stomach,Dopamine pulse,20–40 mg,20–40 mg,Pregnancy,GI upset,Ovarian hyperstimulation,Dopamine agonists,No UL,Birth control,PMID:23136064; PMID:28237870,DOI:10.1055/s-0032-1327831,Vitex Agnus-Castus.
Black Cohosh,Herb,Hormonal,B,0.82,16.0,35.0,4500.0,1995.0,2022.0,LH,Hot Flashes,"Serotonin agonist",Hot flash relief,Mood,Moderate,High,0.1,0.98,None,Menopause,Divided,With food,GI comfort,40–80 mg,40–80 mg,Liver disease,GI upset,Liver damage,Statins,No UL,Liver history,PMID:22972105; PMID:18596662,DOI:10.1002/14651858.CD007244,Liver warning.
Tribulus Terrestris,Herb,Libido,B,0.75,12.0,30.0,2100.0,2000.0,2023.0,IIEF,Testosterone,"Androgen receptors",Libido,Sexual function,"Moderate (Libido), Negligible (T)",High,0.9,0.7,Libido,Libido,Any time,With food,Irritation,750–1500 mg,500–1000 mg,Pregnancy,Reflux,Nephrotoxicity,Antidiabetics,No UL,Men expecting T,PMID:24559105; PMID:26727646,DOI:10.1111/jsm.12469,Not a T-booster.
Boron,Mineral,Trace Mineral,B,0.85,8.0,15.0,800.0,1998.0,2023.0,Free T,SHBG,"SHBG inhibition",Free T increase,Bone density,Moderate (Free T),Medium,0.95,0.85,Free T,Bone,Morning,With food,Nausea,3–10 mg,6–9 mg,Hormone cancers,None common,Kidney toxicity,Estrogen,20 mg,Kidney disease,PMID:21129941; PMID:26504509,DOI:10.1016/j.jtemb.2010.10.001,Cycle it.
Shilajit,Resin,Adaptogen,B,0.80,6.0,12.0,600.0,2010.0,2024.0,Testosterone,ATP,"Mitochondrial",T-support,Sperm quality,Moderate,Medium,0.9,0.7,Fertility,Energy,Morning,Dissolved,Absorption,250–500 mg,250–500 mg,Iron overload,Metallic taste,Heavy metals,Antidiabetics,No UL,Iron overload,PMID:26395129; PMID:30728074,DOI:10.1111/and.12482,Purified only.
Cinnamon,Herb,Metabolic,A,0.86,18.0,45.0,3800.0,2003.0,2023.0,Glucose,HbA1c,"Insulin mimetic",Glycemic control,Lipids,Moderate,High,0.85,0.9,Metabolism,PCOS,Before meals,With food,Glucose blunting,1000–6000 mg,500–1000 mg (Ceylon),Liver disease,GI irritation,Liver toxicity,Hepatotoxins,6 g,Liver patients,PMID:24019277; PMID:22579946,DOI:10.1370/afm.1517,Use Ceylon.
Inositol,Carbohydrate,Mental,A,0.89,12.0,30.0,2500.0,1995.0,2022.0,Serotonin,Insulin,"Second messenger",Panic/OCD,Metabolic,"Large (Psych), Moderate (Metabolic)",High,0.7,0.85,Mood,PCOS/Mood,Divided,Independent,Half-life,12–18 g,2–4 g (General),Bipolar,Nausea,None,SSRIs,18 g,Bipolar,PMID:24424367; PMID:11386498,DOI:10.1002/14651858.CD009363,High dose for psych.
Omega-3,Fatty Acid,Essential,A,0.98,85.0,300.0,180000.0,1985.0,2024.0,Triglycerides,CRP,"Anti-inflammatory",Triglycerides,Mood,Large,High,0.95,0.95,Heart,Pregnancy/Mood,With meals,With food,Absorption,1000–4000 mg,1000–3000 mg,Bleeding,Fish burps,Bleeding risk,Blood thinners,5000 mg,Surgery,PMID:31567003; PMID:22682084,DOI:10.1001/jamacardio.2019.3756,EPA/DHA.
Alpha-GPC,Compound,Nootropic,B,0.84,5.0,18.0,1200.0,2008.0,2023.0,Acetylcholine,GH,"Choline donor",Cognition,Power,Moderate,Medium,0.9,0.8,Power,Focus,Pre-workout,Independent,Fast acting,600–1200 mg,300–600 mg,None,Headache,Rash,Anticholinergics,No UL,CVD risk,PMID:22017406; PMID:26618583,DOI:10.1186/1550-2783-5-S1-P15,Performance dose 600mg.
Vitamin B1,Vitamin,Energy,A,0.92,10.0,40.0,5500.0,1990.0,2023.0,Transketolase,Glucose,"Carb metabolism",Neuropathy,Energy,Large,High,0.85,0.85,Athletes,Pregnancy,Any time,Independent,Water soluble,100–300 mg,50–100 mg,None,None,Allergy,Diuretics,No UL,Alcoholics,PMID:24076329; PMID:10578216,DOI:10.1111/j.1464-5491.1998.01734.x,Benfotiamine for diabetes.
Vitamin B2,Vitamin,Energy,A,0.88,8.0,25.0,2100.0,1998.0,2022.0,EGRAC,Homocysteine,"FAD precursor",Migraine,Energy,Moderate (Migraine),High,0.8,0.9,Energy,Migraine,Morning,With food,Absorption,400 mg (Migraine),50–400 mg,None,Yellow urine,None,Phenobarbital,No UL,Migraine,PMID:26760394; PMID:26239103,DOI:10.1024/0300-9831/a000221,Yellow urine warning.
Vitamin B3,Vitamin,Cardio,A,0.90,35.0,80.0,45000.0,1980.0,2023.0,LDL/HDL,NAD,"Lipolysis inhibition",Lipids,Skin,"Moderate (Lipids), High (Skin)",High,0.85,0.8,Lipids,Skin,Evening,With food,Flushing,1000–3000 mg,500–500 mg,Liver disease,Flushing,Hepatotoxicity,Statins,35 mg (Flush limit),Gout,PMID:28753235; PMID:25988226,DOI:10.1002/14651858.CD009744,Nicotinamide vs Acid.
Vitamin B5,Vitamin,Skin,B,0.80,6.0,15.0,800.0,1995.0,2021.0,Pantothenate,Sebum,"CoA precursor",Acne,Healing,Moderate,Medium,0.8,0.85,Steroids,Acne,Divided,With food,GI comfort,2–10 g (Acne),500–1000 mg,None,Diarrhea,None,Antibiotics,No UL,Acne,PMID:24898145; PMID:7476568,DOI:10.1007/s13555-014-0052-3,High dose for acne.
Vitamin K1,Vitamin,Blood,A,0.93,12.0,30.0,15000.0,1990.0,2023.0,INR,Bone,"Clotting factors",Clotting,Bone,Large,High,0.8,0.8,General,Bone,With meals,With food,Fat-soluble,100–1000 mcg,100–500 mcg,Warfarin,None,Anaphylaxis (IV),Anticoagulants,No UL,Blood thinners,PMID:19361324; PMID:28609623,DOI:10.1002/14651858.CD001146,Clotting essential.
Copper,Mineral,Trace Mineral,A,0.91,5.0,12.0,3500.0,2000.0,2023.0,Serum Copper,Ceruloplasmin,"Enzyme cofactor",Anemia prevention,Collagen,Large,High,0.8,0.8,Zinc balance,Collagen,Any time,With food,Nausea,1–3 mg,1–2 mg,Wilson's Disease,Nausea,Liver damage,Zinc,10 mg,Wilson's,PMID:26493393; PMID:27128189,DOI:10.1016/j.jtemb.2015.09.004,Balance with Zinc 15:1.
Manganese,Mineral,Trace Mineral,B,0.85,6.0,15.0,2200.0,1995.0,2023.0,SOD,Bone Density,"Antioxidant cofactor",Bone,Metabolism,Moderate,High,0.8,0.85,Metabolism,Bone,With meals,With food,GI comfort,2–5 mg,2–5 mg,Liver failure,None,Neurotoxicity,Antibiotics,11 mg,Welders,PMID:15671044; PMID:2759816,DOI:10.1093/jn/133.3.748S,Avoid accumulation.
Molybdenum,Mineral,Trace Mineral,B,0.80,2.0,5.0,300.0,2000.0,2022.0,Uric Acid,Sulfites,"Sulfite oxidase",Sulfur metabolism,Detox,Small,Medium,0.7,0.7,Protein,Sulfite sensitivity,Morning,With food,Standard,45–100 mcg,45–75 mcg,Gout,None,Gout symptoms,Copper,2000 mcg,Gout,PMID:11234858; PMID:29931818,DOI:10.1093/ajcn/74.4.437,Rare deficiency.
Phosphorus,Mineral,Macromineral,B,0.88,8.0,20.0,8500.0,1990.0,2023.0,Phosphate,PTH,"Bone mineral",Bone,Energy,Moderate,High,0.8,0.8,Dietary excess,Bone,With meals,With food,Buffer,700–1200 mg,Not needed,Kidney disease,Diarrhea,Calcification,Antacids,4000 mg,Kidney disease,PMID:24021734; PMID:26636651,DOI:10.1053/j.jrn.2013.04.008,Dietary excess common.

Sulfur (MSM),Compound,Joints,A,0.89,12.0,35.0,2800.0,2005.0,2024.0,WOMAC,Wrinkles,"Anti-inflammatory",Pain relief,Skin/Hair,Moderate,High,0.85,0.9,Joints,Beauty,Morning,With food,Gas,1000–6000 mg,1000–3000 mg,None,Gas,Allergy,None,4000 mg,Sensitivity,PMID:16309928; PMID:32083522,DOI:10.1016/j.joca.2005.10.003,Methylsulfonylmethane.
CLA,Fatty Acid,Metabolic,B,0.65,15.0,60.0,3500.0,2000.0,2022.0,Body Fat,LBM,"PPAR modulation",Fat loss (mild),Lean mass,Small,Medium,0.8,0.7,Bodybuilding,Toning,With meals,With food,Fat-soluble,3–6 g,1000–3000 mg,Insulin resistance,GI distress,Fatty liver,Antidiabetics,6 g,Diabetics,PMID:17490954; PMID:21990002,DOI:10.3945/ajcn.107.252031,Overhyped.
Evening Primrose,Oil,Skin,B,0.78,12.0,40.0,4200.0,1990.0,2022.0,TEWL,Mastalgia,"GLA source",Breast pain,Skin,Moderate,Medium,0.6,0.95,Eczema,Breast pain,Divided,With food,Fat-soluble,1500–3000 mg,1000–2000 mg,Seizures,Soft stools,Seizure induction,Blood thinners,No UL,Epileptics,PMID:20359269; PMID:18498646,DOI:10.5694/j.1326-5377.1990.tb120732.x,GLA content.
Borage Oil,Oil,Inflammation,B,0.80,8.0,20.0,1500.0,1995.0,2023.0,DAS28,Hydration,"High GLA",RA pain,Eczema,Moderate,High,0.7,0.9,Joints,Skin,With meals,With food,Fat-soluble,1000–3000 mg,1000–2000 mg,Liver disease,Bloating,Liver toxicity,Anticoagulants,No UL,Liver,PMID:24553997; PMID:21034460,DOI:10.3945/ajcn.113.071563,Must be PA-Free.
GLA,Fatty Acid,Inflammation,A,0.84,10.0,30.0,2200.0,1990.0,2022.0,PGE1,Cytokines,"Anti-inflammatory",Skin,Inflammation,Moderate,High,0.75,0.9,Inflammation,Conversion issues,Divided,With food,Fat-soluble,300–1000 mg,240–500 mg,Seizures,GI upset,Seizure,Blood thinners,3000 mg,Epileptics,PMID:10617999; PMID:12442909,DOI:10.1093/ajcn/71.1.367s,Active part of Borage.
Omega-7,Fatty Acid,Mucosa,B,0.79,5.0,12.0,800.0,2010.0,2024.0,CRP,Moisture,"Lipokine",Dryness,Skin,Moderate,Medium,0.75,0.95,Skin,Vaginal dryness,With meals,With food,Fat-soluble,200–500 mg,200–500 mg,None,None,None,None,No UL,None,PMID:25161758; PMID:31189432,DOI:10.1016/j.maturitas.2014.07.010,Sea Buckthorn source.
Probiotics,Probiotic,Gut,A,0.87,65.0,200.0,120000.0,2000.0,2024.0,Diversity,Frequency,"Microbiome",IBS,Diarrhea,Moderate,High,0.9,0.9,Gut-Brain,Vaginal flora,Morning,Empty stomach,Survival,1–50 Billion,10–20 Billion,Immunocompromised,Gas,Sepsis,Antibiotics,No UL,Catheters,PMID:22529959; PMID:25091764,DOI:10.1001/jama.2012.3507,Strain specific.
Prebiotics,Fiber,Gut,A,0.91,30.0,85.0,6500.0,1995.0,2024.0,Bifidobacteria,Stool,"Fermentable",Regularity,Satiety,Large,High,0.85,0.9,Gut,Constipation,Morning,With food,Gas,2–10 g,3–5 g,IBS-D,Gas,Obstruction,None,20 g,IBS,PMID:27178951; PMID:25582732,DOI:10.1016/j.clnu.2016.04.020,FODMAP warning.
Digestive Enzymes,Enzyme,Digestive,B,0.82,8.0,20.0,2500.0,1990.0,2023.0,Stool Fat,Bloating,"Hydrolysis",Bloating,Absorption,Moderate,Medium,0.8,0.85,Bulking,IBS,With meals,With food,Contact,Varies,Standard Blend,Pancreatitis,Nausea,Irritation,Acarbose,No UL,Ulcers,PMID:29661418; PMID:26806042,DOI:10.1007/s11894-018-0620-x,Functional bloating.
L-Glutamine,Amino Acid,Gut,B,0.79,12.0,40.0,3800.0,1995.0,2023.0,Permeability,Glutamine,"Fuel for enterocytes",Leaky Gut,Recovery,Moderate,High,0.85,0.85,Recovery,Gut healing,Divided,Empty,Repair,5–30 g,5–10 g,Cirrhosis,Constipation,Psychiatric,Lactulose,40 g,Liver disease,PMID:29709232; PMID:30360490,DOI:10.3390/nu10050584,High dose needed.
Peppermint Oil,Oil,Digestive,A,0.94,15.0,35.0,3200.0,1980.0,2023.0,IBS Score,Pain,"Antispasmodic",IBS Pain,Gas,Large,High,0.8,0.95,Digestion,IBS Pain,Pre-meal,Empty stomach,Enteric coating,0.2 ml,180–360 mg,Hiatal Hernia,Heartburn,Stomatitis,Cyclosporine,No UL,GERD,PMID:24461313; PMID:30654185,DOI:10.1111/apt.12604,Enteric Coated only.
Lion’s Mane,Fungus,Nootropic,B,0.76,4.0,10.0,650.0,2009.0,2023.0,Cognitive Score,NGF,"NGF synthesis",Cognition,Mood,Moderate,Medium,0.8,0.8,Focus,Brain fog,Morning,With food,Absorption,1000–3000 mg,1000–2000 mg,Mushroom allergy,Itching,Breathing,Antidiabetics,No UL,Allergy,PMID:18844328; PMID:31413233,DOI:10.1002/ptr.2634,Fruiting Body.
Bacopa,Herb,Nootropic,A,0.85,9.0,25.0,1800.0,2001.0,2022.0,Recall,Anxiety,"Dendrites",Memory,Anxiety,Moderate,High,0.85,0.85,Memory,Stress,With meals,With food,Nausea,300–450 mg,300 mg,Bradycardia,Cramping,Bradycardia,Thyroid,No UL,Ulcers,PMID:24252493; PMID:23772955,DOI:10.1155/2012/606424,Takes time.
GABA,Amino Acid,Sleep,C,0.68,5.0,15.0,800.0,2006.0,2023.0,Alpha Waves,Latency,"Inhibitory",Relaxation,Sleep,Small,Low,0.8,0.8,GH spike,Sleep,Evening,Empty,Competition,100–3000 mg,500–1000 mg,None,Tingling,None,BP meds,3000 mg,Respiratory,PMID:22616017; PMID:32664426,DOI:10.1007/s00726-012-1284-9,Gut-Brain axis.
Citicoline,Compound,Nootropic,A,0.90,14.0,40.0,4500.0,1995.0,2023.0,Phosphatidylcholine,Dopamine,"Choline source",Attention,Memory,Moderate,High,0.85,0.85,Focus,Cognition,Morning,Independent,Water soluble,250–1000 mg,250–500 mg,Hypertonia,Headache,Hypotension,Levodopa,2000 mg,Depression,PMID:22910604; PMID:26188680,DOI:10.1002/14651858.CD000269,CDP-Choline.
Uridine,Nucleotide,Nootropic,C,0.65,2.0,8.0,400.0,2010.0,2022.0,Synapses,ATP,"Synaptic turnover",Cognition,Mood,Small,Low,0.8,0.8,Stacking,Mood,Morning,With food,Synergy,250–1000 mg,250–500 mg,Cancer,None,Tumor growth,None,No UL,Cancer,PMID:21346793; PMID:26618583,DOI:10.1093/ajcn/93.3.610,Stack with DHA.
Noopept,Peptide,Nootropic,C,0.60,0.0,4.0,250.0,2005.0,2021.0,Cognition,NGF,"BDNF expression",Memory,Focus,Small,Low,0.85,0.7,Biohacking,Focus,Morning,Independent,Sublingual,10–30 mg,10–30 mg,Hypertension,Irritability,Brain fog,Stimulants,No UL,Anxiety,PMID:19240853; PMID:21414388,DOI:10.1016/j.neulet.2008.12.044,Drug in Russia.
Huperzine A,Herb,Nootropic,B,0.83,6.0,18.0,1400.0,1999.0,2023.0,Acetylcholine,Memory,"AChE inhibitor",Memory,Cognition,Moderate,Medium,0.85,0.8,Focus,Focus,Morning,Independent,Half-life,200–400 mcg,200–250 mcg,Epilepsy,Nausea,Bradycardia,Cholinergics,500 mcg,Heart block,PMID:24063645; PMID:16364207,DOI:10.1371/journal.pone.0074916,Cycle it.
Tyrosine,Amino Acid,Nootropic,A,0.88,10.0,35.0,1200.0,1989.0,2022.0,Tyrosine,Dopamine,"Catecholamines",Stress Cognition,Memory,Moderate,High,0.9,0.9,Pressure,Thyroid,Morning,Empty,Competition,2000–10000 mg,500–2000 mg,Melanoma,Headache,Hypertension,MAOIs,12000 mg,Hyperthyroid,PMID:26424423; PMID:25797188,DOI:10.1186/s12970-015-0100-5,Stress only.
DMAE,Compound,Nootropic,C,0.68,2.0,12.0,800.0,1980.0,2020.0,Firmness,ACh,"Membrane stabilizer",Skin,Focus,Small,Low,0.7,0.85,Focus,Face lift,Morning,With food,GI,250–1500 mg,250–750 mg,Pregnancy,Tension,Confusion,Anticholinergics,No UL,Pregnancy,PMID:22300295; PMID:16029679,DOI:10.2165/11599080-000000000-00000,Teratogen risk.
TUDCA,Bile Acid,Liver,A,0.92,8.0,25.0,1800.0,1996.0,2024.0,ALT/AST,Bilirubin,"Chaperone",Cholestasis,Enzymes,Large,High,0.95,0.8,Cycle support,Liver,Divided,With food,GI,500–1750 mg,500–1000 mg,Obstruction,Diarrhea,None,None,No UL,None,PMID:28720348; PMID:25553920,DOI:10.1002/14651858.CD000205,Gold Standard.
Gynostemma,Herb,Adaptogen,B,0.78,4.0,15.0,1100.0,2005.0,2023.0,AMPK,Insulin,"AMPK activator",Fat loss,Insulin,Moderate,Medium,0.85,0.85,Fat loss,Metabolism,Morning,Empty,AMPK,150–450 mg,150–450 mg,Autoimmune,Nausea,Hypoglycemia,Antidiabetics,No UL,Autoimmune,PMID:23348606; PMID:20205561,DOI:10.1002/mnfr.201200685,Southern Ginseng.
Alpha Cyclodextrin,Fiber,Metabolic,B,0.75,5.0,12.0,600.0,2004.0,2022.0,Triglycerides,Weight,"Fat binder",Fat absorption,Weight,Small,Medium,0.8,0.8,Weight,Weight,With fat,With food,Binding,2–6 g,2–6 g,None,Gas,None,Lipophilics,No UL,None,PMID:22108006; PMID:18984950,DOI:10.1038/nutd.2011.2,Fat binder.
Theobromine,Alkaloid,Nootropic,B,0.72,3.0,10.0,400.0,2010.0,2023.0,Heart Rate,PWV,"Vasodilator",Mood,BP,Small,Medium,0.8,0.85,Mood,Mood,Any time,Independent,Half-life,100–500 mg,250–500 mg,GERD,Nausea,Tachycardia,Stimulants,No UL,GERD,PMID:23764688; PMID:26076934,DOI:10.3945/ajcn.113.058826,Cocoa extract.
Caffeine,Stimulant,Performance,A,0.99,100.0,400.0,250000.0,1980.0,2024.0,Performance,Alertness,"Adenosine antagonist",Performance,Focus,Large,High,0.95,0.9,Gold standard,Fat loss,Pre-workout,Independent,Fast,3–6 mg/kg,100–300 mg,Arrhythmia,Jitters,Cardiac arrest,Ephedrine,400 mg,Pregnant,PMID:33388079; PMID:29527137,DOI:10.1186/s12970-020-00383-4,Ergogenic.
ALCAR,Compound,Nootropic,A,0.86,12.0,35.0,2800.0,1990.0,2023.0,MMSE,NCV,"Acetyl donor",Cognition,Neuropathy,Moderate,High,0.85,0.8,Focus,Brain fog,Morning,Empty,Brain uptake,1500–3000 mg,1000–2000 mg,Seizures,Nausea,Seizures,Blood thinners,3000 mg,Seizures,PMID:20028861; PMID:29916669,DOI:10.1111/j.1755-5949.2009.00118.x,Crosses BBB.
Nicotinamide Riboside,Compound,Longevity,B,0.82,6.0,20.0,1200.0,2013.0,2024.0,NAD,PBMCs,"NAD precursor",NAD levels,Metabolism,Large,High,0.85,0.85,Aging,Aging,Morning,With food,Nausea,300–1000 mg,300 mg,Cancer,Nausea,None,None,2000 mg,Cancer history,PMID:29599478; PMID:30093701,DOI:10.1038/s41467-018-03421-7,Niagen.
Vinpocetine,Compound,Nootropic,B,0.76,8.0,30.0,2500.0,1985.0,2022.0,Blood Flow,Reaction,"PDE1 inhibitor",Circulation,Cognition,Moderate,Medium,0.8,0.75,Flow,Contraindicated,Morning,With food,Bioavailability,10–30 mg,10–30 mg