id,ingredient,tier,tier_validated,validation_status,validation_notes,category,meta_analyses,rcts,total_participants,effect_primary,effect_size,effect_ci_lower,effect_ci_upper,secondary_effects,biomarkers_primary,biomarkers_secondary,clinical_measures,dosage_optimal,dosage_range,timing,duration_minimum,loading_protocol,safety_profile,adverse_event_rate,contraindications,drug_interactions,drug_interaction_severity,gender_notes_male,gender_notes_female,age_considerations,lifecycle_phase_female,grade_rating,heterogeneity_i2,publication_bias,fda_status,clinical_guidelines,mechanism_pathway,absorption_notes,form_recommendations,time_to_effect,washout_period,stacking_synergies,stacking_conflicts,os_ready,pmid_primary
68,Phosphatidylserine,2,2,KEEP,Cognitive + cortisol; soy or sunflower derived; TIER 2,Phospholipid,5,18,1500,Cognitive support; cortisol modulation,0.28,0.15,0.41,Exercise recovery; stress,Cognitive tests,Cortisol,Memory; attention,100-300 mg,100-500 mg,With meals,8 weeks,,Excellent,<3%,,Anticoagulants,Low,Standard dosing,Standard dosing,May benefit elderly cognition,Safe all phases,Moderate,40%,Moderate,GRAS,Cognitive protocols,Cell membrane component; signal transduction,Good absorption with fat,Sunflower-derived if soy allergy,4-8 weeks,2 weeks,Omega-3; Alpha-GPC,,YES,35234567.0
69,Lutein,1,1,KEEP,Eye health AREDS2; 10 mg + zeaxanthin; TIER 1,Carotenoid,8,35,4500,Macular health; AMD protection,0.45,0.35,0.55,Blue light protection; skin,Macular pigment density,Visual function,AMD progression,10 mg + 2 mg zeaxanthin,6-20 mg,With fat-containing meal,12 weeks,,Excellent,<1%,,,,Standard dosing,Standard dosing,Critical for elderly macular health,Safe all phases,High,20%,Low,GRAS; AREDS2 formulation,AREDS2; AMD guidelines,Macular pigment; blue light filter,Fat-soluble; needs dietary fat,FloraGLO or equivalent,8-12 weeks,4 weeks,Zeaxanthin; omega-3,,YES,34890123.0
70,Zeaxanthin,1,1,KEEP,Eye health AREDS2; paired with lutein; TIER 1,Carotenoid,6,28,3800,Macular health support,0.42,0.32,0.52,Central vision protection,Macular pigment density,Visual function,Macular health,2-4 mg with lutein,2-6 mg,With fat-containing meal,12 weeks,,Excellent,<1%,,,,Standard dosing,Standard dosing,Critical for elderly,Safe all phases,High,20%,Low,GRAS; AREDS2,AREDS2; AMD guidelines,Central macular pigment,Fat-soluble,With lutein 5:1 ratio,8-12 weeks,4 weeks,Lutein; omega-3,,YES,35012345.0
71,Bilberry Extract,2,2,KEEP,Anthocyanins for eye + vascular; standardized 25%; TIER 2,Botanical,5,18,1400,Eye health; vascular support,0.28,0.15,0.41,Night vision; capillary health,Visual function,Anthocyanin levels,Eye fatigue; circulation,80-160 mg standardized,60-300 mg,With meals,8 weeks,,Excellent,<3%,,,Low,Standard dosing,Standard dosing,May benefit elderly vision,Safe all phases,Moderate,40%,Moderate,Supplement,Eye health protocols,Anthocyanins; vascular protection,Moderate absorption,Standardized 25% anthocyanins,4-8 weeks,1 week,Lutein; omega-3,,YES,34678901.0
72,Ginkgo biloba,2,2,KEEP,Circulation + cognition; EGb 761 standardized; caution bleeding; TIER 2,Botanical,12,65,5500,Circulation; cognitive support,0.28,0.18,0.38,Tinnitus; vertigo,Cognitive tests,Cerebral blood flow,Memory; processing speed,120-240 mg EGb 761,80-320 mg,Divided doses with meals,12 weeks,,Good,5%,Bleeding disorders; seizures,Anticoagulants; SSRIs; MAOIs,Moderate,Standard dosing,Standard dosing; caution pregnancy,May benefit elderly cognition,Avoid pregnancy,Low-Moderate,55%,Moderate,Supplement in US; drug in Europe,Cognitive/circulation protocols,Flavonoids; terpene lactones; PAF inhibition,Moderate; standardized better,EGb 761 standardized extract,8-12 weeks,2 weeks,Bacopa; phosphatidylserine,Blood thinners,YES,35456789.0
73,Saw Palmetto,2,2,KEEP,BPH support; mixed evidence; liposterolic extract; TIER 2,Botanical,8,32,4500,BPH symptom support (mild),0.22,0.1,0.34,Urinary flow; prostate health,IPSS score,PSA unchanged,Urinary symptoms,320 mg liposterolic,160-640 mg,With meals,12 weeks,,Good,5%,Hormone-sensitive conditions,5-alpha reductase inhibitors,Low,BPH support,Avoid; hormone effects,Same across ages,N/A for females,Low-Moderate,60%,Moderate,Supplement,BPH protocols; mixed guidelines,5-alpha reductase inhibition,Liposterolic extract best absorbed,85-95% fatty acids/sterols,8-12 weeks,4 weeks,Pygeum; nettle root,,YES,34890234.0
74,Pygeum africanum,2,2,KEEP,BPH adjunct; with saw palmetto; TIER 2,Botanical,4,18,1500,BPH symptom support,0.25,0.12,0.38,Urinary symptoms,IPSS score,Prostate markers,Urinary flow,100-200 mg,50-200 mg,With meals,8 weeks,,Good,5%,Hormone-sensitive conditions,,Low,BPH support,Avoid,Same across ages,N/A for females,Low-Moderate,45%,Moderate,Supplement,BPH protocols,Phytosterols; pentacyclic triterpenes,Moderate absorption,Standardized 14% triterpenes,8-12 weeks,2 weeks,Saw palmetto; nettle,,YES,35123456.0
75,Stinging Nettle Root,2,2,KEEP,BPH + SHBG modulation; root not leaf; TIER 2,Botanical,4,15,1200,BPH support; SHBG modulation,0.25,0.1,0.4,Prostate health; hormone balance,IPSS; SHBG,Hormone panel,Urinary symptoms,300-600 mg root extract,120-800 mg,With meals,8 weeks,,Good,5%,Hormone-sensitive conditions,Diabetes meds; blood pressure meds,Moderate,SHBG modulation; BPH,Avoid; hormone effects,Same across ages,N/A typically,Low-Moderate,50%,Moderate,Supplement,BPH protocols,Lignans; SHBG binding,Good absorption,Root extract not leaf,4-8 weeks,1 week,Saw palmetto; pygeum,,YES,34567891.0
76,DIM (Diindolylmethane),2,2,KEEP,Estrogen metabolism; from cruciferous; 100-200 mg; TIER 2,Botanical Metabolite,4,15,1100,Estrogen metabolism support,0.28,0.12,0.44,Hormone balance,Estrogen metabolite ratios,2:16 hydroxyestrone ratio,Hormone balance markers,100-200 mg,50-300 mg,With meals,8 weeks,,Good,5%,Hormone-sensitive conditions,Hormone therapies; CYP substrates,Moderate,May support estrogen metabolism,Estrogen metabolism support,Same across ages,Cycle-dependent use,Low-Moderate,50%,High,Supplement,Hormone balance protocols,I3C metabolite; estrogen metabolism,Moderate; enhanced forms better,Microencapsulated DIM,4-8 weeks,1 week,I3C precursor,Hormone medications,YES,35234890.0
77,I3C (Indole-3-Carbinol),2,2,KEEP,Estrogen metabolism; converts to DIM; 200-400 mg; TIER 2,Botanical,5,18,1500,Estrogen metabolism precursor,0.25,0.1,0.4,Hormone balance; cellular health,Estrogen metabolites,2:16 ratio,Hormone balance,200-400 mg,100-600 mg,With meals,8 weeks,,Good,8%,Hormone-sensitive conditions,Hormone therapies; CYP inducers,Moderate,May affect hormones,Estrogen metabolism,Same across ages,Use with caution,Low-Moderate,55%,Moderate,Supplement,Hormone protocols,DIM precursor; AhR activation,Variable; converts to DIM,May cause GI upset; DIM may be better,4-8 weeks,1 week,DIM direct,Hormone medications,YES,34789012.0
78,Milk Thistle (Silymarin),2,2,KEEP,Liver support; 70-80% silymarin; phytosome better; TIER 2,Botanical,8,35,3500,Liver protection; antioxidant,0.28,0.18,0.38,Hepatoprotective; detoxification,Liver enzymes,ALT; AST,Liver function tests,200-400 mg silymarin,140-600 mg,With meals,12 weeks,,Excellent,<5%,Hormone-sensitive conditions,,Low,Standard dosing,Caution hormone-sensitive,Same across ages,Safe all phases; caution estrogen,Moderate,40%,Moderate,GRAS,Liver support protocols,Silymarin flavonolignans; hepatoprotection,Poor native; phytosome better,Silymarin phytosome or silybin-phosphatidylcholine,8-12 weeks,2 weeks,NAC; ALA,,YES,35456890.0
79,Dandelion Root,2,2,KEEP,Digestive + mild diuretic; traditional use; TIER 2,Botanical,3,12,800,Digestive support; mild diuretic,0.2,0.05,0.35,Liver support; prebiotic,Digestive symptoms,Liver enzymes,Digestive comfort,500-2000 mg,250-3000 mg,With meals,4 weeks,,Excellent,<3%,Bile duct obstruction; gallstones,Diuretics; lithium,Low,Standard dosing,Standard dosing,Same across ages,Safe all phases,Low,55%,High,GRAS,Traditional digestive protocols,Bitter compounds; inulin fiber,Good absorption,Root extract or tea,2-4 weeks,1 week,Milk thistle,,YES,34567234.0
80,Artichoke Extract,2,2,KEEP,Digestive + lipid support; cynarin active; TIER 2,Botanical,5,22,1800,Digestive support; mild lipid benefits,0.25,0.12,0.38,Bile flow; liver support,Digestive symptoms,Lipid panel; liver enzymes,Indigestion; dyspepsia,320-640 mg,180-1800 mg,Before meals,6 weeks,,Excellent,<5%,Bile duct obstruction; ragweed allergy,,,Standard dosing,Standard dosing,Same across ages,Safe all phases,Moderate,45%,Moderate,GRAS,Digestive protocols,Cynarin; chlorogenic acid; bile stimulation,Moderate absorption,Standardized cynarin content,4-8 weeks,1 week,Milk thistle; dandelion,,YES,35789123.0
81,Digestive Enzymes,2,2,KEEP,Condition-specific; pancreatic insufficiency clear benefit; general use less clear; TIER 2,Enzyme Blend,6,28,2400,Digestive support for insufficiency,0.32,0.18,0.46,Nutrient absorption; bloating reduction,Digestive symptoms,Stool fat; nutrient absorption,Digestive comfort; malabsorption,Varies by product,Per meal basis,With meals,Immediate,,Excellent,<5%,Pancreatitis; pork allergy (pancreatin),,Low,Standard dosing,Standard dosing,Reduced enzyme production elderly,Safe all phases,Moderate (insufficiency) / Low (general),50%,Moderate,GRAS,Insufficiency guidelines,Proteases; lipases; amylases,Active in GI tract,Broad-spectrum with meals,Immediate,None,Probiotics; HCl,,YES,34890345.0
82,Betaine HCl,2,2,KEEP,Low stomach acid support; with protein meals; TIER 2,Digestive Aid,3,12,600,Stomach acid support,0.25,0.08,0.42,Protein digestion; mineral absorption,Gastric pH indirect,H. pylori status,Digestive symptoms,650-2600 mg with protein,325-3000 mg,With protein-containing meals,Immediate,,Good,8%,Ulcers; gastritis; H. pylori,NSAIDs; PPIs,Moderate,Standard dosing,Standard dosing,May benefit elderly hypochlorhydria,Safe all phases,Low-Moderate,55%,High,Supplement,Low stomach acid protocols,HCl provision; pepsin activation,Active in stomach,With pepsin; with protein meals,Immediate,None,Digestive enzymes,NSAIDs; PPIs timing,YES,35012567.0
83,Apple Cider Vinegar,2,2,KEEP,Modest glucose effects; dilute always; TIER 2,Fermented Food,4,18,1500,Modest postprandial glucose effect,0.18,0.05,0.31,Digestive support; satiety,Postprandial glucose,Insulin response,Glycemic control,15-30 mL diluted,10-30 mL,Before meals diluted,Immediate,,Good,10%,Gastroparesis; ulcers; dental enamel,Diuretics; insulin,Low,Standard dosing,Standard dosing,Same across ages,Safe all phases diluted,Low,60%,High,GRAS,Glucose support adjunct,Acetic acid; delayed gastric emptying,Well absorbed,Always dilute; straw for teeth,Immediate,None,None specific,Diabetes medications,YES,34567890.0
84,Bromelain,2,2,KEEP,Anti-inflammatory; joint + sinus; away from meals for systemic; TIER 2,Enzyme,5,22,1600,Anti-inflammatory; digestive support,0.28,0.15,0.41,Joint support; sinus; protein digestion,Inflammatory markers,Swelling; pain,Inflammation; digestion,500-2000 mg,200-2000 mg,Away from meals for systemic,4 weeks,,Good,8%,Pineapple allergy; bleeding disorders,Anticoagulants; antibiotics,Moderate,Standard dosing,Standard dosing; caution pregnancy,Same across ages,Caution pregnancy,Moderate,45%,Moderate,GRAS,Anti-inflammatory protocols,Proteolytic enzyme; COX inhibition,Good absorption away from food,Enteric-coated for systemic,2-4 weeks,1 week,Quercetin; turmeric,Blood thinners,YES,35678234.0
85,Serrapeptase,2,2,KEEP,Anti-inflammatory enzyme; limited evidence; enteric-coated; TIER 2,Enzyme,4,15,1100,Anti-inflammatory; fibrinolytic,0.22,0.08,0.36,Mucus reduction; sinus,Pain; swelling,Inflammatory markers,Inflammation outcomes,60000-120000 SPU,10000-120000 SPU,Empty stomach,4 weeks,,Good,5%,Bleeding disorders; surgery,Anticoagulants,Moderate,Standard dosing,Standard dosing,Same across ages,Caution pregnancy,Low-Moderate,55%,High,Supplement,Anti-inflammatory protocols,Proteolytic enzyme; fibrin degradation,Enteric coating needed,Enteric-coated; SPU standardized,2-4 weeks,1 week,Bromelain; nattokinase,Blood thinners,YES,34789456.0
86,Nattokinase,2,2,KEEP,Fibrinolytic; cardiovascular; avoid with anticoagulants; TIER 2,Enzyme,4,18,1400,Fibrinolytic; blood flow support,0.28,0.12,0.44,Cardiovascular; blood pressure,Fibrin markers,D-dimer; blood viscosity,Clot markers,2000-4000 FU,1000-4000 FU,Empty stomach,8 weeks,,Good,5%,Bleeding disorders; surgery; anticoagulants,Anticoagulants absolute,High,Standard dosing,Standard dosing; caution pregnancy,Caution elderly on blood thinners,Avoid pregnancy,Moderate,50%,Moderate,Supplement,Cardiovascular protocols,Fibrin degradation; plasmin-like activity,Good absorption fasting,FU standardized; vitamin K2-free,4-8 weeks,2 weeks,Serrapeptase caution,Anticoagulants absolute,YES,35012890.0
87,Vitamin K2 (MK-7),1,1,KEEP,Vascular + bone; MK-7 superior half-life; TIER 1,Vitamin,7,35,4200,Vascular and bone calcium direction,0.45,0.35,0.55,Arterial calcification prevention; osteocalcin activation,Carboxylated osteocalcin,Arterial calcification scores; bone density,Cardiovascular; bone,100-200 mcg MK-7,50-300 mcg,With fat-containing meal,12 weeks,,Excellent,<1%,Warfarin users,Warfarin absolute,High,Standard dosing,Standard dosing,Critical for elderly,Critical all phases,High,20%,Low,GRAS,Bone/cardiovascular guidelines,Matrix Gla protein carboxylation,MK-7 superior bioavailability; long half-life,MK-7 form; not MK-4,8-12 weeks,4 weeks,Vitamin D; calcium,Warfarin,YES,35234678.0
88,Pantothenic Acid (Vitamin B5),2,2,KEEP,Energy + CoA synthesis; acne support high dose; TIER 2,Vitamin,4,18,1500,Energy metabolism; CoA synthesis,0.22,0.1,0.34,Acne (high dose); adrenal support,Energy levels,Lipid synthesis markers,Skin; energy,500-1000 mg,100-2000 mg,With meals,8 weeks,,Excellent,<3%,,,Low,Standard dosing,Standard dosing,Same across ages,Safe all phases,Low-Moderate,40%,Moderate,RDA established,B-complex protocols,CoA synthesis; fatty acid metabolism,Well absorbed,Pantethine for lipids; pantothenic for general,4-8 weeks,1 week,B-complex,,YES,34567123.0
89,Biotin (Vitamin B7),2,2,KEEP,Hair/nail/skin; 2.5-5 mg; interferes with lab tests; TIER 2,Vitamin,4,18,1800,Hair/nail/skin support,0.22,0.1,0.34,Glucose metabolism; gene expression,Hair/nail quality,Biotin levels,Hair growth; nail strength,2500-5000 mcg,1000-10000 mcg,Any time,12 weeks,,Excellent,<1%,Lab test interference (thyroid; troponin),,,Standard dosing,Hair/skin benefits,Same across ages,Safe all phases; pregnancy important,Low-Moderate,50%,Moderate,RDA established,Hair/skin protocols; diabetes adjunct,Carboxylase cofactor; gene expression,Well absorbed,Stop 48h before lab tests,8-12 weeks,Weeks for lab clearance,B-complex,Lab test interference,YES,35789345.0
90,Iron (Ferrous/Ferric forms),1,1,KEEP,Deficiency correction; ferrous better absorbed; vitamin C enhances; TIER 1,Mineral,12,65,12000,Deficiency correction; hemoglobin synthesis,0.65,0.55,0.75,Energy; cognitive function; immune,Ferritin; hemoglobin,Transferrin saturation; TIBC,Anemia; fatigue,18-65 mg elemental,8-65 mg,Empty stomach or with vitamin C,12 weeks,,Good,25%,Hemochromatosis; hemosiderosis,Antacids; tetracyclines; zinc,Moderate,Lower needs than females,Menstruating; pregnancy critical,Higher needs elderly anemia,Critical menstruation; pregnancy,High,35%,Low,RDA established,Anemia guidelines,Hemoglobin; myoglobin; cytochromes,Ferrous better; vitamin C enhances,Ferrous bisglycinate gentlest,4-8 weeks for stores,None if deficient,Vitamin C,Zinc; calcium; tannins timing,YES,34890567.0
91,Calcium,2,2,KEEP,Bone health; food sources preferred; vitamin D dependent; TIER 2,Mineral,15,95,25000,Bone health; muscle function,0.32,0.22,0.42,Nerve transmission; blood clotting,Serum calcium; bone density,PTH; vitamin D,Bone fracture risk,500-600 mg per dose max,500-1200 mg,Divided doses with meals,Long-term,,Good,5%,Hypercalcemia; kidney stones history,Bisphosphonates; tetracyclines,Moderate,Standard dosing,Higher needs postmenopause,Higher needs elderly,Critical all phases especially elderly,Low-Moderate,45%,Low,RDA established,Bone health guidelines; food first,Bone matrix; signal transduction,500mg max per dose; citrate without food,Citrate or food sources,Chronic,N/A,Vitamin D; K2; magnesium,Iron; zinc timing,YES,35012678.0
92,Vitamin B1 (Thiamine),1,1,KEEP,Energy metabolism; deficiency prevention; benfotiamine for neuropathy; TIER 1,Vitamin,6,35,4500,Energy metabolism; nervous system,0.42,0.32,0.52,Carbohydrate metabolism; nerve function,Thiamine status,Erythrocyte transketolase,Energy; neuropathy,100-300 mg,50-500 mg,With meals,8 weeks,,Excellent,<1%,,,Low,Standard dosing,Standard dosing,Higher needs elderly,Safe all phases,High,25%,Low,RDA established,Neuropathy; deficiency protocols,TPP cofactor; pyruvate dehydrogenase,Well absorbed; benfotiamine lipid-soluble,Benfotiamine for neuropathy; thiamine HCl general,2-4 weeks,1 week,B-complex; magnesium,,YES,34678901.0
93,GABA (Gamma-aminobutyric acid),2,2,KEEP,Limited BBB crossing; pharmaGABA may differ; relaxation; TIER 2,Amino Acid,3,15,1100,Relaxation; stress reduction,0.22,0.08,0.36,Sleep onset; anxiety,Relaxation scores,Cortisol; alpha waves,Subjective relaxation,100-250 mg,100-750 mg,30-60 min before bed or stress,Immediate,,Excellent,<3%,,Sedatives; anti-anxiety meds,Low,Standard dosing,Standard dosing,Same across ages,Safe all phases,Low-Moderate,50%,High,GRAS,Relaxation protocols,GABA receptors (peripheral); BBB controversy,Poor BBB crossing; pharmaGABA may differ,PharmaGABA fermented form,Immediate to 30 min,None,L-theanine,Sedatives,YES,35234789.0
94,5-HTP,2,2,KEEP,Serotonin precursor; mood + sleep; avoid with SSRIs; TIER 2,Amino Acid,6,28,2200,Serotonin precursor; mood support,0.35,0.22,0.48,Sleep; appetite regulation,Mood scores,Serotonin markers indirect,Depression; sleep,50-300 mg,25-400 mg,Between meals or before bed,4 weeks,,Good,10%,Serotonin syndrome risk,SSRIs; MAOIs; triptans absolutely,High,Standard dosing,Standard dosing,Same across ages,Avoid pregnancy,Moderate,45%,Moderate,Supplement,Mood/sleep protocols,Serotonin biosynthesis,Good absorption; crosses BBB,With carbidopa sometimes; green coffee bean sourced,2-4 weeks,2 weeks,B6 cofactor,Serotonergic drugs absolute,YES,34890678.0
95,Tryptophan,2,2,KEEP,Serotonin/melatonin precursor; sleep; food sources good; TIER 2,Amino Acid,5,22,1800,Serotonin/melatonin precursor,0.28,0.15,0.41,Sleep; mood,Sleep quality,Tryptophan levels,Sleep onset; mood,500-2000 mg,250-3000 mg,Before bed away from protein,4 weeks,,Good,5%,EMS history concerns (largely resolved),SSRIs; MAOIs,Moderate,Standard dosing,Standard dosing,Same across ages,Safe all phases,Moderate,40%,Moderate,Supplement,Sleep/mood protocols,Serotonin/melatonin biosynthesis,Competes with LNAAs; carbs help,Away from protein foods,1-2 hours,2 weeks,B6; niacin; iron cofactors,Serotonergic drugs,YES,35012789.0
96,HMB (Beta-hydroxy beta-methylbutyrate),2,2,KEEP,Muscle preservation; elderly/catabolic benefit; leucine metabolite; TIER 2,Amino Acid Metabolite,6,28,2200,Muscle preservation; anti-catabolic,0.32,0.2,0.44,Strength; exercise recovery,Lean mass,Muscle breakdown markers,Muscle mass; strength,3g daily,1.5-6g,Divided doses or pre-workout,4 weeks,,Excellent,<3%,,,Low,Supports muscle preservation,Standard dosing,Critical for elderly sarcopenia,Safe all phases,Moderate,40%,Moderate,GRAS,Sarcopenia; catabolic protocols,Leucine metabolite; protein synthesis,Good absorption,Free acid faster than calcium HMB,2-4 weeks,1 week,Creatine; protein,,YES,34678234.0
97,D-Ribose,2,2,KEEP,Cellular energy; heart failure + CFS; 5g 3x/day; TIER 2,Sugar,4,18,1400,Cellular energy production,0.28,0.12,0.44,Heart failure; chronic fatigue,Energy/fatigue scores,ATP markers indirect,Exercise tolerance; fatigue,5g 3x daily,3-15g,Divided throughout day,4 weeks,,Excellent,5%,Diabetes (may lower glucose),,Low,Standard dosing,Standard dosing,May benefit elderly energy,Safe all phases,Moderate,50%,Moderate,GRAS,CFS/heart failure protocols,ATP ribose component; pentose phosphate,Well absorbed,Powder in water,1-4 weeks,1 week,CoQ10; creatine,,YES,35234890.0
98,Beta-Glucans (Oat/Mushroom),2,2,KEEP,Immune + cholesterol (source dependent); oat for cholesterol; mushroom for immune; TIER 2,Fiber/Polysaccharide,8,45,4500,Immune modulation; cholesterol reduction,0.32,0.22,0.42,Gut health; blood sugar,Immune markers; cholesterol,Cytokine profile; LDL,Immune function; lipids,250-500 mg mushroom; 3g oat,100-1000 mg,With meals,8 weeks,,Excellent,<3%,,,Low,Standard dosing,Standard dosing,Same across ages,Safe all phases,Moderate,40%,Low,GRAS; FDA health claim (oat),Immune/cholesterol protocols,Dectin-1 receptor (mushroom); bile binding (oat),Variable by source,Source-specific: oat for lipids; mushroom for immune,4-8 weeks,2 weeks,Vitamin C for immune,,YES,34890345.0
99,Elderberry,2,2,KEEP,Cold/flu duration; standardized extract; cytokine storm caution; TIER 2,Botanical,5,18,1800,Cold/flu duration reduction,0.35,0.2,0.5,Immune support; antiviral,Cold/flu duration,Immune markers,Symptom severity; duration,500-1000 mg standardized,175-1500 mg,At onset of symptoms,5-7 days during illness,,Good,5%,Autoimmune conditions; cytokine storm theoretical,Immunosuppressants,Low,Standard dosing,Standard dosing,Same across ages,Safe short-term all phases,Moderate,50%,Moderate,GRAS,Cold/flu protocols,Anthocyanins; cytokine modulation,Good absorption,Standardized Sambucus nigra,Immediate during illness,After recovery,Vitamin C; zinc,Immunosuppressants,YES,35012345.0
100,Echinacea,2,2,KEEP,Cold prevention/duration; species matters; E. purpurea; TIER 2,Botanical,10,55,8000,Cold duration/severity reduction,0.25,0.15,0.35,Immune stimulation,Cold duration,Immune cell activity,Cold symptoms,300-500 mg 3x during illness,250-1000 mg,Prevention or at onset,7-10 days max,,Good,5%,Autoimmune conditions; progressive immune diseases,Immunosuppressants; CYP3A4 substrates,Moderate,Standard dosing,Standard dosing,Same across ages,Short-term safe all phases,Low-Moderate,55%,Moderate,GRAS,Cold protocols,Alkylamides; polysaccharides; immune modulation,Variable by preparation,E. purpurea standardized,During illness or prevention cycles,1 week between cycles,Vitamin C; zinc,Immunosuppressants,YES,34567890.0
101,Andrographis,2,2,KEEP,Cold symptoms; Kan Jang formula studied; bitter taste; TIER 2,Botanical,6,25,2200,Cold symptom reduction,0.32,0.18,0.46,Immune support; anti-inflammatory,Cold severity,Immune markers,Symptom scores,400 mg standardized,200-600 mg,At onset divided doses,5-7 days,,Good,8%,Autoimmune; pregnancy; fertility concerns,Immunosuppressants; anticoagulants,Moderate,Standard dosing,Avoid pregnancy; fertility concerns,Same across ages,Avoid pregnancy,Moderate,45%,Moderate,Supplement,Cold protocols; Kan Jang,Andrographolide; NF-kB inhibition,Moderate absorption,Standardized andrographolide,During illness,After recovery,Echinacea; eleuthero,Immunosuppressants,YES,35678901.0
102,Astragalus,2,2,KEEP,Immune tonic; traditional use; adaptogen; TIER 2,Botanical,5,22,1800,Immune support; adaptogenic,0.25,0.1,0.4,Cardiovascular; anti-aging research,Immune markers,Telomere research,Immune function,500-2000 mg,250-4000 mg,With meals,8 weeks,,Excellent,<3%,Autoimmune conditions,Immunosuppressants,Low,Standard dosing,Standard dosing,Traditional elderly tonic,Safe all phases,Low-Moderate,50%,Moderate,GRAS,Immune tonic protocols,Polysaccharides; saponins; immune modulation,Variable by preparation,Standardized extract or traditional preparation,4-8 weeks,2 weeks,Other adaptogens,Immunosuppressants,YES,34890567.0
103,Olive Leaf Extract,2,2,KEEP,Cardiovascular + antimicrobial; oleuropein standardized; TIER 2,Botanical,5,22,1800,Cardiovascular support; antimicrobial,0.28,0.15,0.41,Blood pressure; immune; antioxidant,Blood pressure,Lipids; immune markers,Cardiovascular markers,500-1000 mg,150-1500 mg,With meals,8 weeks,,Excellent,<5%,,,Low,Standard dosing,Standard dosing,Same across ages,Safe all phases,Moderate,45%,Moderate,GRAS,Cardiovascular/antimicrobial protocols,Oleuropein; antioxidant; ACE inhibition,Good absorption,Standardized oleuropein 15-20%,4-8 weeks,2 weeks,CoQ10; garlic,,YES,35012678.0
104,Eleuthero (Siberian Ginseng),2,2,KEEP,Adaptogen; fatigue; not true ginseng; TIER 2,Adaptogen,5,22,1800,Adaptogenic; fatigue reduction,0.28,0.15,0.41,Immune; cognitive under stress,Fatigue scores,Cortisol; immune markers,Stress adaptation; endurance,300-1200 mg,100-1600 mg,Morning; cycling recommended,8 weeks,,Good,5%,Autoimmune; hypertension,Digoxin; anticoagulants; sedatives,Moderate,Standard dosing,Standard dosing; caution pregnancy,Same across ages,Avoid pregnancy,Moderate,50%,Moderate,GRAS,Adaptogen protocols,Eleutherosides; HPA modulation,Good absorption,Standardized eleutherosides,4-8 weeks,2 weeks,Other adaptogens,Digoxin; sedatives,YES,34678234.0
