supliful_sku,supliful_url,category,serving,wholesale_price,notes,shopify,amazon,tiktok,genomax_ingredient,match_type,evidence_tier,sell_recommendation,os_ready,primary_benefit,effect_size,evidence_grade,meta_analyses,rcts,participants,optimal_dose,dose_range,timing,min_duration,safety_profile,contraindications,drug_interactions
Alpha Energy,https://supliful.com/catalog/alpha-energy-capsules,Sexual & Reproductive Wellness,,8.59,Manufacturer: USA | SRP: $40.90,1,0,1,Alpha-Lipoic Acid,DIRECT MATCH,✅ TIER 1 - OS CORE,RECOMMENDED - SELL,YES,Diabetic neuropathy; antioxidant,0.58,High,12,58,3200,600 mg,300-1200 mg,Empty stomach for neuropathy,12 weeks,Excellent,None significant,Insulin; thyroid meds
Berberine,https://supliful.com/catalog/berberine-capsules,Weight Management,,7.55,Manufacturer: USA | SRP: $39.90,1,0,1,Berberine,DIRECT MATCH,✅ TIER 1 - OS CORE,RECOMMENDED - SELL,YES,Glucose control; lipid lowering,0.62,High,18,92,5200,500 mg x3,300-1500 mg,Before meals,12 weeks,Good,Pregnancy; severe liver disease,Metformin; CYP3A4 substrates
Bone & Heart Support,https://supliful.com/catalog/bone-heart-support-capsules,"Bone, Joint & Cartilage",,7.19,Manufacturer: USA | SRP: $29.90,1,0,1,Vitamin K2 (MK-7),DIRECT MATCH,✅ TIER 1 - OS CORE,RECOMMENDED - SELL,YES,Bone; vascular calcification prevention,0.58,Moderate-High,8,38,4200,100-200 mcg,45-360 mcg,With fat-containing meal,12 weeks,Excellent,Warfarin (absolute contraindication),Warfarin
CoQ10 Ubiquinone,https://supliful.com/catalog/coq10-ubiquinone-capsules,Post-Workout Recovery,,9.65,Manufacturer: USA | SRP: $28.90,1,0,1,CoQ10 (Ubiquinol),DIRECT MATCH,✅ TIER 1 - OS CORE,RECOMMENDED - SELL,YES,Mitochondrial energy; cardiovascular; statin myalgia,0.52,Moderate-High,15,75,4800,100-200 mg,30-600 mg,With fat-containing meal,8 weeks,Excellent,None,Warfarin (monitor INR)
Colostrum Capsules,https://supliful.com/catalog/colostrum-capsules,Post-Workout Recovery,,8.49,Manufacturer: USA | SRP: $35.00,1,0,1,Probiotics,DIRECT MATCH,✅ TIER 1 - OS CORE,RECOMMENDED - SELL,YES,Gut health; immune; IBS,0.58,High,32,180,65000,10-50 billion CFU multi-strain,1-100 billion CFU,With or without food,4 weeks,Excellent,Immunocompromised (fungemia risk rare),None significant
Colostrum Powder,https://supliful.com/catalog/colostrum-powder,Post-Workout Recovery,,9.76,Manufacturer: USA | SRP: $39.95,1,0,1,Probiotics,DIRECT MATCH,✅ TIER 1 - OS CORE,RECOMMENDED - SELL,YES,Gut health; immune; IBS,0.58,High,32,180,65000,10-50 billion CFU multi-strain,1-100 billion CFU,With or without food,4 weeks,Excellent,Immunocompromised (fungemia risk rare),None significant
Creatine Monohydrate,https://supliful.com/catalog/creatine-monohydrate-powder,Muscle Builders,Mix recommended serving with water or beverage daily,12.65,SRP: $33.90,1,0,1,Creatine,DIRECT MATCH,✅ TIER 1 - OS CORE,RECOMMENDED - SELL,YES,Muscle strength; power; cognitive,0.72,Very High,45,500,25000,5g,3-10g,Post-workout or any time,4 weeks,Excellent,Renal disease (relative caution),None
Magnesium Glycinate,https://supliful.com/catalog/magnesium-glycinate-capsules,Vitamins & Minerals,,8.89,Manufacturer: USA | SRP: $26.90,1,0,1,Magnesium,DIRECT MATCH,✅ TIER 1 - OS CORE,RECOMMENDED - SELL,YES,Muscle; nerve; cardiovascular; bone,0.52,High,18,95,52000,300-600 mg elemental,200-800 mg,Evening or divided,4 weeks,Excellent,Renal failure (Mg >2.5 mmol/L),Antibiotics; bisphosphonates
Omega-3 EPA 180mg + DHA 120mg,https://supliful.com/catalog/omega-3-epa-dha-softgel-capsules,Fish Oil & Omega Fatty Acids,,9.15,Manufacturer: USA | SRP: $24.90,1,0,1,Omega-3 (EPA+DHA),DIRECT MATCH,✅ TIER 1 - OS CORE,RECOMMENDED - SELL,YES,Cardiovascular protection; triglyceride reduction,0.62,High,15,85,45000,2-4g EPA+DHA,1-5g,With meals,8 weeks,Excellent,Bleeding disorders (relative caution),Anticoagulants
Platinum Turmeric,https://supliful.com/catalog/platinum-turmeric-capsules,Specialty Supplements,,7.95,Manufacturer: USA | SRP: $25.90,1,0,1,Curcumin,DIRECT MATCH,✅ TIER 1 - OS CORE,RECOMMENDED - SELL,YES,Anti-inflammatory; joint; metabolic,0.52,High,28,135,48000,500-1000 mg curcuminoids,200-2000 mg,With fat and black pepper or enhanced form,8 weeks,Excellent,Bile duct obstruction; gallstones,Anticoagulants; chemotherapy
Probiotic + Metabolism Strips,https://supliful.com/catalog/probiotic-metabolism-strips,Digestive Support,,9.12,Manufacturer: USA | SRP: $39.00,1,0,1,Probiotics,DIRECT MATCH,✅ TIER 1 - OS CORE,RECOMMENDED - SELL,YES,Gut health; immune; IBS,0.58,High,32,180,65000,10-50 billion CFU multi-strain,1-100 billion CFU,With or without food,4 weeks,Excellent,Immunocompromised (fungemia risk rare),None significant
Probiotic 20 Billion,https://supliful.com/catalog/probiotic-20-billion-cfu-capsules,Digestive Support,,6.95,Manufacturer: USA | SRP: $19.95,1,0,1,Probiotics,DIRECT MATCH,✅ TIER 1 - OS CORE,RECOMMENDED - SELL,YES,Gut health; immune; IBS,0.58,High,32,180,65000,10-50 billion CFU multi-strain,1-100 billion CFU,With or without food,4 weeks,Excellent,Immunocompromised (fungemia risk rare),None significant
Probiotic 40 Billion with Prebiotics,https://supliful.com/catalog/probiotic-40-billion-prebiotics-capsules,Digestive Support,,10.09,Manufacturer: USA | SRP: $30.90,1,0,1,Probiotics,DIRECT MATCH,✅ TIER 1 - OS CORE,RECOMMENDED - SELL,YES,Gut health; immune; IBS,0.58,High,32,180,65000,10-50 billion CFU multi-strain,1-100 billion CFU,With or without food,4 weeks,Excellent,Immunocompromised (fungemia risk rare),None significant
Resveratrol 50% 600mg,https://supliful.com/catalog/resveratrol-50-percent-capsules,Weight Management,,8.55,Manufacturer: USA | SRP: $25.90,1,0,1,Grape Seed Extract (OPCs),DIRECT MATCH,✅ TIER 1 - OS CORE,RECOMMENDED - SELL,YES,Blood pressure; vascular health,0.15,Moderate-High,16,22,810,150-400 mg,50-600 mg,With meals,8 weeks,Excellent,Bleeding disorders,Anticoagulants
Turmeric Gummies,https://supliful.com/catalog/turmeric-gummies,Specialty Supplements,,8.35,Manufacturer: USA | SRP: $22.90,1,0,0,Curcumin,DIRECT MATCH,✅ TIER 1 - OS CORE,RECOMMENDED - SELL,YES,Anti-inflammatory; joint; metabolic,0.52,High,28,135,48000,500-1000 mg curcuminoids,200-2000 mg,With fat and black pepper or enhanced form,8 weeks,Excellent,Bile duct obstruction; gallstones,Anticoagulants; chemotherapy
Vitamin D3 2000 IU,https://supliful.com/catalog/vitamin-d3-2000iu-softgel-capsules,Vitamins & Minerals,,7.85,Manufacturer: USA | SRP: $19.90,1,0,1,Vitamin D3,DIRECT MATCH,✅ TIER 1 - OS CORE,RECOMMENDED - SELL,YES,Bone health; immune modulation,0.68,High,25,120,75000,2000-4000 IU,800-10000 IU,Any time with fat,12 weeks,Excellent,Hypercalcemia; sarcoidosis,Thiazides; digoxin
Ashwagandha,https://supliful.com/catalog/ashwagandha-capsules,Specialty Supplements,,5.95,Manufacturer: USA | SRP: $23.90,1,0,1,Ashwagandha,DIRECT MATCH,❌ BLOCKED - DO NOT SELL,DO NOT SELL - SAFETY RISK,BLOCKED,HEPATOTOXICITY CONCERNS - BLOCKED,0.32,BLOCKED,12,65,5000,DO NOT USE,DO NOT USE,DO NOT USE,DO NOT USE,DANGEROUS - LIVER RISK,Liver disease; thyroid; autoimmune; pregnancy,Sedatives; thyroid meds